rhizobiaPerGSoil,date,X,Y,pointType,source
1000000,,73,694.5,yaxis,Nutman1969
100000,,73,668.5,yaxis,Nutman1969
10000,,73,642,yaxis,Nutman1969
1000,,73,616.5,yaxis,Nutman1969
100,,73,591,yaxis,Nutman1969
10,,73,565,yaxis,Nutman1969
1,,73,538,yaxis,Nutman1969
1,1/1/1960,79,538,xaxis,Nutman1969
1,1/1/1962,200.5,538,xaxis,Nutman1969
1,1/1/1963,260.5,538,xaxis,Nutman1969
1,1/1/1964,321.5,538,xaxis,Nutman1969
1,1/1/1965,381.5,538,xaxis,Nutman1969
1,1/1/1966,441,538,xaxis,Nutman1969
,,103.5,676.5,R.leg.trifolii,Nutman1969
,,123.5,668.5,R.leg.trifolii,Nutman1969
,,139.5,615,R.leg.trifolii,Nutman1969
,,159,641.5,R.leg.trifolii,Nutman1969
,,179.5,658,R.leg.trifolii,Nutman1969
,,219.5,666.5,R.leg.trifolii,Nutman1969
,,245,679.5,R.leg.trifolii,Nutman1969
,,255,679.5,R.leg.trifolii,Nutman1969
,,331,662,R.leg.trifolii,Nutman1969
,,471.5,652.5,R.leg.trifolii,Nutman1969
,,103,614.5,R.leg.vicae,Nutman1969
,,125.5,622,R.leg.vicae,Nutman1969
,,139,569,R.leg.vicae,Nutman1969
,,158.5,597,R.leg.vicae,Nutman1969
,,179,613.5,R.leg.vicae,Nutman1969
,,219.5,614,R.leg.vicae,Nutman1969
,,245,622.5,R.leg.vicae,Nutman1969
,,255,615,R.leg.vicae,Nutman1969
,,330.5,603.5,R.leg.vicae,Nutman1969
,,471.5,608.5,R.leg.vicae,Nutman1969
1000000,,42,818,yaxis,Hirsch1996
100000,,43,792,yaxis,Hirsch1996
10000,,42,765,yaxis,Hirsch1996
1000,,42,738,yaxis,Hirsch1996
100,,42.5,711.5,yaxis,Hirsch1996
10,,43,686,yaxis,Hirsch1996
1,,42.5,659.5,yaxis,Hirsch1996
,8/1/1987,47,,xaxis,Hirsch1996
,8/1/1993,398.5,,xaxis,Hirsch1996
,,83,756.5,peasin1987,Hirsch1996
,,88.5,786,peasin1987,Hirsch1996
,,94.5,749.5,peasin1987,Hirsch1996
,,98,794.5,peasin1987,Hirsch1996
,,105.5,787.5,peasin1987,Hirsch1996
,,108,760,peasin1987,Hirsch1996
,,113,768,peasin1987,Hirsch1996
,,116.5,784,peasin1987,Hirsch1996
,,122,791.5,peasin1987,Hirsch1996
,,128,775,peasin1987,Hirsch1996
,,131.5,776,peasin1987,Hirsch1996
,,136,790,peasin1987,Hirsch1996
,,141.5,776,peasin1987,Hirsch1996
,,146,784,peasin1987,Hirsch1996
,,151.5,792,peasin1987,Hirsch1996
,,155,782.5,peasin1987,Hirsch1996
,,161.5,780.5,peasin1987,Hirsch1996
,,165,769,peasin1987,Hirsch1996
,,174.5,776,peasin1987,Hirsch1996
,,184,780.5,peasin1987,Hirsch1996
,,332.5,792,peasin1987,Hirsch1996
,,404,768,peasin1987,Hirsch1996
,,84.5,752.5,nopeas1987,Hirsch1996
,,89,763.5,nopeas1987,Hirsch1996
,,94.5,729.5,nopeas1987,Hirsch1996
,,99,762.5,nopeas1987,Hirsch1996
,,103,771,nopeas1987,Hirsch1996
,,109,772.5,nopeas1987,Hirsch1996
,,117.5,757,nopeas1987,Hirsch1996
,,122.5,772.5,nopeas1987,Hirsch1996
,,127.5,764,nopeas1987,Hirsch1996
,,134,764,nopeas1987,Hirsch1996
,,137.5,773,nopeas1987,Hirsch1996
,,141.5,769.5,nopeas1987,Hirsch1996
,,146,780.5,nopeas1987,Hirsch1996
,,152,776,nopeas1987,Hirsch1996
,,156.5,771,nopeas1987,Hirsch1996
,,159,765.5,nopeas1987,Hirsch1996
,,165.5,757.5,nopeas1987,Hirsch1996
,,174.5,760,nopeas1987,Hirsch1996
,,332,782,nopeas1987,Hirsch1996
,,403.5,767.5,nopeas1987,Hirsch1996
